sample_name,exp_date,Count,Geo_Mean,Robust_CV,Median,OR,RTP1S,Gfy,Clgn,Syt1,Syt5,pCI,Total,others,gene-mix,RTP2,Syt_genes
ORS6_RGC_Klhl5,06102022,10000,764.0,288.0,438.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377,06102022,10000,135.0,62.9,123.0,1000,0,0.0,0.0,,,1000.0,1000,0.0,,,
Olfr1377_Hspa12a,06102022,10000,143.0,62.5,129.0,1000,0,0.0,0.0,,,700.0,1300,300.0,,,
Olfr1377_R,06102022,10000,1216.0,73.4,1295.0,1000,100,0.0,0.0,,,600.0,1400,300.0,,,
Olfr1377_RGC,06102022,10000,1309.0,76.3,1405.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377_RGC_Hspa12a,06102022,10000,1350.0,76.4,1453.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377_RGC_Acsl6,06102022,10000,1265.0,74.0,1340.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377_RGC_Cfap206,06102022,10000,1270.0,76.8,1340.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377_RGC_Efcab10,06102022,10000,1298.0,78.3,1376.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377_RGC_Slc24a2,06102022,10000,1203.0,77.9,1266.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Olfr1377_RGC_Klhl5,06102022,10000,1150.0,71.8,1213.0,1000,100,300.0,300.0,,,0.0,2000,300.0,,,
Rho-pCI,09052022,10346,117.0,68.6,109.0,0,0,0.0,0.0,,,1000.0,1000,0.0,0.0,,
Olfr1377,09052022,10183,171.0,61.4,156.0,1000,0,0.0,0.0,,,1000.0,2000,0.0,0.0,,
Olfr1377_Mix,09052022,10246,206.0,58.2,187.0,1000,0,0.0,0.0,,,400.0,2000,0.0,600.0,,
Olfr1377_R,09052022,10131,1291.0,76.6,1310.0,1000,100,0.0,0.0,,,900.0,2000,0.0,0.0,,
Olfr1377_R_Mix,09052022,10172,1387.0,75.6,1432.0,1000,100,0.0,0.0,,,300.0,2000,0.0,600.0,,
Olfr1377_RGC,09052022,10141,1379.0,78.1,1424.0,1000,100,150.0,150.0,,,600.0,2000,0.0,0.0,,
Olfr1377_RGC_Mix,09052022,10057,1570.0,78.3,1646.0,1000,100,150.0,150.0,,,0.0,2000,0.0,600.0,,
Olfr1377_RGC_Hspa12a,09052022,10057,1382.0,77.0,1442.0,1000,100,150.0,150.0,,,300.0,2000,300.0,0.0,,
Olfr1377_RGC_Sult1d1,09052022,10048,1343.0,78.7,1386.0,1000,100,150.0,150.0,,,300.0,2000,300.0,0.0,,
Olfr1377_RGC_Acsl6,09052022,10056,1286.0,74.6,1307.0,1000,100,150.0,150.0,,,300.0,2000,300.0,0.0,,
Olfr1377_RGC_Cfap206,09052022,10045,1325.0,79.4,1371.0,1000,100,150.0,150.0,,,300.0,2000,300.0,0.0,,
Olfr1377_RGC_Pde6d,09052022,10049,1291.0,75.9,1327.0,1000,100,150.0,150.0,,,300.0,2000,300.0,0.0,,
Olfr1377_RGC_Slc24a2,09052022,10047,1117.0,83.4,1108.0,1000,100,150.0,150.0,,,300.0,2000,300.0,0.0,,
